חוק,כתובת,מספר מעסיק,סיבת הביקורת,סכום עיצום סופי,ענף,פרטים נוספים,שם מעסיק,תאריך החלטה
"חוק הגנת השכר תשי""ח-1958","הלמד הא 58,גבעתיים",514768761,יזום,"17,850 ₪",חינוך,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-1256-3-2021.pdf,"א.מ הגן של מיכל בע""מ",11/11/2021
"חוק הגנת השכר תשי""ח-1958","שד' משה דיין, ירושלים10,",515994317,יזום,"107,100 ₪",בניין,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/1402021.pdf,"חומות ירושלים מחיצות גבס בע""מ",10/11/2021
"חוק הגנת השכר תשי""ח-1958","ת.ד. 1222, רהט,",515199438,פנייה,"17,850 ₪",תעשיות מתכת,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/480.4.2021.pdf,"דיוקים 2000 ניהול פרויקטים בע""מ",07/11/2021
"חוק הגנת השכר תשי""ח-1958
חוק שכר מינימום תשמ""ז-1987",אחיהוד,,פנייה,"הפחתה בשל מחזור עסקאות
					      				 ",תעשיות מתכת,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/19+21-2563-2-2019.pdf,א.א.ד עיבוד שבבי,02/11/2021
הגנת השכר,"סחרוב דוד, ראשון לציון17,",513949180,פנייה,"109,680 ₪",מסעדות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/8972021.pdf,"גורמה אקספרס בע""מ",01/11/2021
"חוק הגנת השכר תשי""ח-1958","אוסישקין 64,תל אביב - יפו",,יזום,"321,300 ₪",מקצועות חופשיים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/1473-2-2021.pdf,"משרד עו""ד",01/11/2021
"חוק הגנת השכר תשי""ח-1958","משה שרת 19,פתח תקווה",56204332,פנייה,"מחזור עסקאות
					      				 ",שרותים אחרים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-1436-3-2021.pdf,התקנת מערכות אוורור,31/10/2021
"חוק הגנת השכר תשי""ח-1958","משגב עם111,משגב עם",515816155,פנייה,"17,850 ₪",תעשיות אחרות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-1122-2-2021.pdf,"ווטרמטיק אינטרנשיונל בע""מ",28/10/2021
"חוק הגנת השכר תשי""ח-1958","הברזל, תל אביב יפו5,",511166084,פנייה,"19,635 ₪",מקצועות חופשיים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/24732019.pdf,"שני שנהב חברה לשרותים בע""מ",25/10/2021
"חוק הגנת השכר תשי""ח-1958","הנביא אליהו 1/4 אשדוד,",515485449,יזום,"17,850 ₪",תעשיות מתכת,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/363.4.2021.pdf,"מאפיית דוראל בע""מ",25/10/2021
"חוק הגנת השכר תשי""ח-1958","פסון 3, אילת ,",515666055,יזום,"321,300 ₪",מסעדות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/1880.4.2019.pdf,"א.ז.נ.ד קפה אחזקות בע""מ",25/10/2021
"חוק עבודת נשים תשי""ד-1954","ההסתדרות 1,בית שאן",500292008,פנייה,"17,850 ₪",חינוך,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/15-464-2-2020.pdf,עיריית בית שאן,20/10/2021
"חוק עבודת נשים תשי""ד-1954","חלוצי התעשייה47,חיפה",511413270,פנייה,"17,850 ₪",קבלני שירותים (שמירה אבטחה וניקיון),https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/15-708-2-2020.pdf,"שחף אבטחה 1989 בע""מ",20/10/2021
"חוק הגנת השכר תשי""ח-1958","גבעת שאול, ירושלים33,",514056530,פנייה,"17,850 ₪",בניין,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/6902020.pdf,"א.כ.ישיר לבניין בע""מ",19/10/2021
