חוק,כתובת,מספר מעסיק,סיבת הביקורת,סכום עיצום סופי,ענף,פרטים נוספים,שם מעסיק,תאריך החלטה
"חוק עבודת נשים תשי""ד-1954","יגיע כפיים, פתח תקווה17,",511402794,פנייה,"36,560 ₪","תקשורת, הנדסה ומחשוב",https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/8572020.pdf,"וואן פוינט פתרונות קמעונאות (ניביט) בע""מ",11/08/2021
"חוק שכר מינימום תשמ""ז-1987","נהורה,",511743007,פנייה,"35,700 ₪",היסעים והובלות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/222.4.2021.pdf,"מטיילי נהורה בע""מ",10/08/2021
"חוק שעות עבודה ומנוחה תשי""א-1951","הרצל 82, רחובות,",,פנייה,"10,200 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/1174.4.2021 . 9.pdf,מתוק מתוק,09/08/2021
"הודעה מוקדמת לפיטורין והתפטרות התשס""א 2001","הרצל 82, רחובות,",,פנייה,"40,800 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/1174.4.2021 . 12.pdf,מתוק מתוק,09/08/2021
"חוק הגנת השכר תשי""ח-1958","הרצל 82, רחובות,",,פנייה,"40,800 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/1174.4.2021 . 21.pdf,מתוק מתוק,09/08/2021
"חוק הגנת השכר תשי""ח-1958","גרניט 15,כוכב יאיר",514207125,פנייה,"107,100 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-667-2-2021.pdf,"אניפט בע""מ",08/08/2021
"חוק הגנת השכר תשי""ח-1958","שכ 36 223 תל שבע,",,יזום,"21,420 ₪",גינון ותחזוקה לבניינים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/237.4.2020.pdf,איסוף פסולת,07/08/2021
"חוק הגנת השכר תשי""ח-1958
צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956","אצ""ל 44,תל אביב - יפו",514683176,יזום,"57,120 ₪",מסעדות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21+33-723-3-2021.pdf,"טורוס אשר בע""מ",05/08/2021
"חוק הגנת השכר תשי""ח-1958","הזית 1,טירת כרמל",515847218,פנייה,"מחזור עסקאות
					      				 ",מקצועות חופשיים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-706-2020.pdf,"י.מ. קלינטק בע""מ",04/08/2021
"חוק הגנת השכר תשי""ח-1958","פיק""א 35,חיפה",,יזום,"מחזור עסקאות
					      				 ",משלוחים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-666-2021.pdf,הובלת מטענים בדרכים,04/08/2021
"חוק הגנת השכר תשי""ח-1958","רגבים 0,ניצני עוז",515979029,יזום,"71,400 ₪",שרותי ניקיון,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-156-2021.pdf,"ש. סרנדיפיטי בע""מ",04/08/2021
"חוק הגנת השכר תשי""ח-1958","העצמון 23,חולון",,יזום,"17,850 ₪",קבלני שירותים (שמירה אבטחה וניקיון),https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-1170-3-2020.pdf,אר. אס שרותי ניקיון,03/08/2021
"חוק הגנת השכר תשי""ח-1958","אלשאפעי 70, רנט,",,פנייה,"214,200 ₪",אחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/374.4.2021.pdf,ק.ר שיפוצים ואינסטלציה,03/08/2021
"חוק הגנת השכר תשי""ח-1958","אבו בכר אלסדיק 46, רהט,",514226174,יזום,"107,100 ₪",בניין,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/608.4.2021.pdf,"א.ת. אלעוברה תשתיות בע""מ",03/08/2021
"חוק הגנת השכר תשי""ח-1958","רח' 6060,נצרת",513126037,יזום,"17,850 ₪","תקשורת, הנדסה ומחשוב",https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-450-2020.pdf,"לין מחשבים בע""מ",01/08/2021
"חוק הגנת השכר תשי""ח-1958","הפרדס26,רמת השרון",512458605,יזום,"17,850 ₪",קבלני כוח אדם,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-2525-2018.pdf,"ר.ר. נ נופר שרותים בע""מ",25/07/2021
"חוק הגנת השכר תשי""ח-1958","אגודת בית""ר, ירושלים1,",515208718,פנייה,"142,800 ₪",קוסמטיקה,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/11592020.pdf,"י.מ ספר הספא שלי בע""מ",22/07/2021
"חוק הגנת השכר תשי""ח-1958","שח""ל 41, באר-שבע,",514161744,יזום,"107,100 ₪",מקצועות חופשיים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/90.4.2021.pdf,"נור הדרום בע""מ",21/07/2021
"חוק הגנת השכר תשי""ח-1958","גבעת ישעיהו128,",515882223,פנייה,"17,850 ₪",מקצועות חופשיים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/6912020.pdf,"רובד גיאולוגיה ויעוץ חברתי בע""מ",19/07/2021
"חוק הגנת השכר תשי""ח-1958","כרמיאל205,",,פנייה,"מחזור עסקאות
					      				 ",היסעים והובלות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/16632019.pdf,א.ס הסעות,18/07/2021
"חוק הגנת השכר תשי""ח-1958","ירמיהו, ירושלים23,",,יזום,"17,850 ₪",תעשיית עץ,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/5782020.pdf,מרכז שולחן וכיסא,18/07/2021
"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",סח'נין,513791673,פנייה,"107,100 ₪",חינוך,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/33-459-2-2021.pdf,"ט.ע.מ. גני ילדים (2006) בע""מ",18/07/2021
"חוק הגנת השכר תשי""ח-1958","נחלים 1,נחלים",512656026,פנייה,"17,850 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-999-3-2020.pdf,"מ.ט.ר כלי גינון ובנין בע""מ",15/07/2021
"חוק הגנת השכר תשי""ח-1958
חוק שכר מינימום תשמ""ז-1987
צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956","נחשון12,פתח תקווה",512236720,פנייה,"107,100 ₪",תחנות דלק ושרותי רכב,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/19+21+33-352-3-2021.pdf,"ש.י אמריקן אוטו בע""מ",13/07/2021
"חוק הגנת השכר תשי""ח-1958","אתגר5,טירת כרמל",511151367,פנייה,"17,850 ₪",שיווק,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-89-2-2020.pdf,"נופש חלומי בע""מ",11/07/2021
"חוק הגנת השכר תשי""ח-1958","היוזמים 13,אור יהודה",513777854,פנייה,"17,850 ₪",קבלני שירותים (שמירה אבטחה וניקיון),https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-667-3-2020.pdf,"ס.ל.ע. יזמות מקבוצת ליאור אחזקות בע""מ",11/07/2021
